REF_DATE,GEO,DGUID,Age group,Gender,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1989,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,37300.0,,,,0
1989,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,51600.0,,,,0
1989,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,47300.0,,,,0
1989,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,36800.0,,,,0
1989,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,43000.0,,,,0
1989,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,40800.0,,,,0
1989,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,42000.0,,,,0
1990,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,33200.0,,,,0
1990,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,35500.0,,,,0
1990,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,50000.0,,,,0
1990,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,44300.0,,,,0
1990,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,37400.0,,,,0
1990,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,40600.0,,,,0
1990,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,40100.0,,,,0
1990,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,40000.0,,,,0
1991,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,36900.0,,,,0
1991,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,32800.0,,,,0
1991,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,46500.0,,,,0
1991,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,40700.0,,,,0
1991,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,35000.0,,,,0
1991,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,38600.0,,,,0
1991,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,39300.0,,,,0
1991,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,39500.0,,,,0
1992,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,30300.0,,,,0
1992,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,35200.0,,,,0
1992,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,45500.0,,,,0
1992,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,41700.0,,,,0
1992,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,34700.0,,,,0
1992,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,37900.0,,,,0
1992,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,38700.0,,,,0
1992,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,39000.0,,,,0
1993,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,36000.0,B,,,0
1993,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,31800.0,B,,,0
1993,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,45500.0,B,,,0
1993,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,39500.0,B,,,0
1993,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,34900.0,B,,,0
1993,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,35900.0,B,,,0
1993,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,37600.0,B,,,0
1993,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,36900.0,B,,,0
1994,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,34400.0,C,,,0
1994,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,33300.0,B,,,0
1994,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,42600.0,B,,,0
